title,description,product_url,label,image_urls,image_name
Nike Swim Hydroguard Men's Short-Sleeve Top. Nike.com,Find the Nike Swim Hydroguard Men's Short-Sleeve Top at Nike.com.  Free delivery and returns.,https://www.nike.com/t/swim-hydroguard-mens-short-sleeve-top-6pWTfKoy/NESSF523-241,tshirts_tops,['https://static.nike.com/a/images/t_default/61dd0ed4-6fed-4eda-8b08-c4e211e6eab0/SPECS+SHORT+SLEEVE+HYDROGUARD.png'],tshirts_tops/27c2f4ca3f06753511820a9cca353ec2.jpg
Nike Sportswear T-Shirt. Nike.com,Find the Nike Sportswear T-Shirt at Nike.com.  Free delivery and returns.,https://www.nike.com/t/sportswear-t-shirt-Wekgi5cZ/II3688-717,tshirts_tops,['https://static.nike.com/a/images/t_default/05735aad-6f48-4662-af66-5f72154b4665/U+NSW+TEE+LSE+TALL+FLOWERS.png'],tshirts_tops/48f0e11264909db17cf308e972143bd4.jpg
Atlanta Dream Explorer Edition Nike Dri-FIT WNBA Victory Jersey. Nike.com,Find the Atlanta Dream Explorer Edition Nike Dri-FIT WNBA Victory Jersey at Nike.com.  Free delivery and returns.,https://www.nike.com/t/atlanta-dream-explorer-edition-dri-fit-wnba-victory-jersey-DdQ8Nc/DC9566-661,tshirts_tops,"['https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9608f8b6-be58-4f06-a9a5-4c42fef916f6/WATL+UNK+DF+VICTORY+E+JSY.png']",tshirts_tops/cb2f2d5ef83e7a72ee123ee343e12f53.jpg
Dallas Wings Explorer Edition Nike Dri-FIT WNBA Victory Jersey. Nike.com,Find the Dallas Wings Explorer Edition Nike Dri-FIT WNBA Victory Jersey at Nike.com.  Free delivery and returns.,https://www.nike.com/t/dallas-wings-explorer-edition-dri-fit-wnba-victory-jersey-nwlb5t/DC9569-419,tshirts_tops,"['https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7cc8a2dd-93f0-4624-85f0-8ff5f348091e/WDAL+UNK+DF+VICTORY+E+JSY.png']",tshirts_tops/979d99848b58d350f2b2217b4552bca5.jpg
Nike Men's Soccer T-Shirt. Nike.com,Find the Nike Men's Soccer T-Shirt at Nike.com.  Free delivery and returns.,https://www.nike.com/t/mens-soccer-t-shirt-6IsCGqiD/IO6238-382,tshirts_tops,"['https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4e6626a3-495f-4725-8d07-54b432f9f5e8/M+NK+WC1+TEE.png']",tshirts_tops/5381959b04d62861702f06b407ff1837.jpg
Nike Men's Long-Sleeve Basketball T-Shirt. Nike.com,Find the Nike Men's Long-Sleeve Basketball T-Shirt at Nike.com.  Free delivery and returns.,https://www.nike.com/t/mens-long-sleeve-basketball-t-shirt-V7vMkbJG/HV1762-451,tshirts_tops,['https://static.nike.com/a/images/t_default/ad8918fd-8eb9-46f4-bbd2-488812de0bf1/M+NK+TEE+LS+PHOTO.png'],tshirts_tops/63aeb29b501317ca7d100cfd09e8c9c2.jpg
Caitlin Clark Indiana Fever Men's Nike WNBA T-Shirt. Nike.com,Find the Caitlin Clark Indiana Fever Men's Nike WNBA T-Shirt at Nike.com.  Free delivery and returns.,https://www.nike.com/t/caitlin-clark-indiana-fever-mens-wnba-t-shirt-DdnO3cUK/M11332IFCC-WHT,tshirts_tops,"['https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b64fe1c2-01cb-4c23-92eb-31ef1700e286/HEROINE+CORE+CTN+SS+TEE.png']",tshirts_tops/7f34acd4b446ebaee17112896543cac2.jpg
Nike Swoosh Men's Max90 Baseball T-Shirt. Nike.com,Find the Nike Swoosh Men's Max90 Baseball T-Shirt at Nike.com.  Free delivery and returns.,https://www.nike.com/t/swoosh-mens-max90-baseball-t-shirt-MVOBmEUX/M11766BS25-BLK,tshirts_tops,"['https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/905b2e14-cf25-4fe1-bf98-d65a7cb9c14a/FA25+SWH+SPT+BSBL+MAX+90+SST.png']",tshirts_tops/2ab474f21f3d2f8194f14fce55210107.jpg
Nike Pro Training Men's Dri-FIT Short-Sleeve Top. Nike.com,Find the Nike Pro Training Men's Dri-FIT Short-Sleeve Top at Nike.com.  Free delivery and returns.,https://www.nike.com/t/pro-training-mens-dri-fit-short-sleeve-top-86QRWF/HV0409-320,tshirts_tops,['https://static.nike.com/a/images/t_default/7d302ecb-9760-4ff3-b6da-b9d762dca721/M+NP+DF+NPT+SS+TOP.png'],tshirts_tops/9d9c0317ba0f835ba4591f0ee3095145.jpg
Nike Sportswear Club Men's Goalie Top. Nike.com,Find the Nike Sportswear Club Men's Goalie Top at Nike.com.  Free delivery and returns.,https://www.nike.com/t/sportswear-club-mens-goalie-top-e36YBOAE/II4367-480,tshirts_tops,"['https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6ff917c5-4a1b-42d9-ba18-0b70df204f17/M+NK+CLUB+GOALIE+TOP+AWAY+FTBL.png']",tshirts_tops/5197eedcc218d88f2dd1870736621bca.jpg
